Designator,JLCPCB Part #,Qty,Value
"C2,C8",C1644,2,15p
"C3,C4,C5,C6,C9,C10,C11,C12,C13,C14,C15,C17,C20,C31,C33,C34,C35,C36,C38,C42,C64",C23630,21,2.2uF
"C7,C28,C58,C61,C62",C14663,5,100n
C16,C1631,1,6.8n
C18,C107035,1,120p
C19,C21122,1,22n
"C21,C32",C16133,2,100u
C22,C1596,1,15n
"C23,C24,C25",C21120,3,220n
"C26,C27,C37,C39,C40,C41,C43,C44",C385987,8,4.7u_100v
"C29,C30,C45",C53987,3,4.7n
"C48,C49,C50,C51",C7471900,4,220u_63v
D2,C2286,1,RED
D3,C2290,1,WHITE
D4,C2923951,1,DIODE
D5,C129544,1,TVS 5V
"H1,H2,H3,H4",,4,MountingHole
L1,C383398,1,2.2u
L2,C266430,1,22u
P1,C132560,1,USB_OTG
"P2,P5,P6",C23390337,1,4PINCONN
"P3,P4",C160405,1,6PINCONN
P8,,1,PH_C
P9,,1,PH_B
P10,,1,PH_A
P11,,1,SUPPLY
P12,,1,GND
"Q1,Q2,Q3,Q4,Q5,Q6",C501008,6,STL130N6F7
"R1,R38",,1,DNP
"R2,R3",C23345,2,22R
"R8,R9,R23",C22787,3,120R
R10,C22978,1,3.3k
R11,C25810,1,18k
R12,C22809,1,15k
"R13,R28,R39",C25804,4,10k
R14,C22961,1,220k
"R15,R17,R19,R21",C23153,4,39k
"R16,R18,R20,R22,R42,R43,R44",C4190,7,2k2
"R24,R29,R32",C469426,3,0.0005R
"R25,R26,R30,R31,R33,R34",C23164,6,4.7R
R27,C76589,1,NTC 10k
"R35,R36,R37",C22775,3,100R
"R40,R41",C21190,2,1k
U1,C15742,1,STM32F40X_LQFP64
U2,C477918,1,LM3671
U3,C98969,1,DRV8301
U4,C124020,1,TJA1051TK-3
"U5,U6,U7",C495342,3,AD8418
U10,C967633,1,LSM6DS3TR-C
X1,C115962,1,8m
