Designator,Mid X,Mid Y,Rotation,Layer
C2,78.36,-33.1,180,top
C3,89.7,-16.565,180,top
C4,75.135,-11.815,0,top
C5,89.41,-25.865,90,top
C6,90.98,-25.865,90,top
C7,72.985,-29.2,90,top
C8,81.61,-33.1,0,top
C9,87.745,-25.875,-90,top
C10,72.09,-11.815,180,top
C11,75.985,-29.2,-90,top
C12,92.74,-13.395,0,top
C13,76.535,-35.425,90,top
C14,70.21,-18.775,90,top
C15,68.685,-18.8,90,top
C16,61.6841,-32.45,0,top
C17,64.06,-12.55,0,top
C18,62.0609,-26.275,180,top
C19,67.16,-18.5,90,top
C20,64.06,-11.025,0,top
C21,71.51,-32.3,180,top
C22,53.5609,-26.975,-90,top
C23,51.2859,-20.3,180,top
C24,51.315,-17.89,180,top
C25,51.3109,-15.275,180,top
C26,51.1859,-11.675,-90,top
C27,56.66,-27.125,0,top
C28,51.3109,-23.225,0,top
C29,34.585,-30.375,0,top
C30,34.5125,-20.475,0,top
C31,58.3109,-36.75,0,top
C32,61.785,-35.6,90,top
C33,70.66,-26.9,0,top
C34,67.56,-26.875,0,top
C35,36.815,-9.769391,90,top
C36,16.55,-38.81,180,top
C37,34.89,-16.219391,0,top
C38,36.8125,-19.725,90,top
C39,34.89,-12.919391,0,top
C40,34.865,-22.894391,0,top
C41,34.865,-26.194391,0,top
C42,36.86,-29.625,90,top
C43,34.76,-36.0925,0,top
C44,34.76,-32.7925,0,top
C45,34.49,-10.519391,0,top
C48,100.22,-28.095,180,top
C49,100.22,-39.335,180,top
C50,100.22,-16.865,180,top
C51,100.22,-5.64,180,top
C58,10.14,-6.455,180,top
C61,86.515,-9.365,90,top
C62,91.955,-9.355,90,top
C64,74.66,-32.4,90,top
D2,89.71,-18.175,180,top
D3,89.7,-19.785,180,top
D4,50.76,-26.4725,-90,top
D5,58.3109,-32.375,90,top
L1,70.06,-35.75,90,top
L2,52.18,-33.185,-90,top
P1,74.01,-4.085,180,top
P2,36.49,-3.485,180,top
P3,53.91,-3.485,180,top
P4,3.455,-5.67,-90,top
P5,44.7,-3.485,180,top
P6,63.11,-3.465,180,top
P8,5,-13.5,0,top
P9,5,-23.5,0,top
P10,5,-33.5,0,top
P11,107.5,-33.75,0,top
P12,107.5,-11.25,0,top
Q1,28.7175,-14.534391,-90,top
Q2,21.34,-12.521891,180,top
Q3,28.665,-24.51,-90,top
Q4,21.285,-22.5525,180,top
Q5,28.5875,-34.52,-90,top
Q6,21.2825,-32.47,180,top
R1,69.83,-8.15,0,top
R2,78.91,-9.47,90,top
R3,77.35,-9.47,90,top
R8,92.48,-15.795,90,top
R9,92.78,-19.805,0,top
R10,61.7091,-30.925,0,top
R11,61.71,-29.375,180,top
R12,62.0609,-27.8,180,top
R13,64.035,-22.525,0,top
R14,59.7609,-27,90,top
R15,46.2,-36.76,90,top
R16,47.74,-35.04,-90,top
R17,39.135,-34.475,0,top
R18,42.16,-34.475,180,top
R19,39.115,-24.559391,0,top
R20,42.165,-24.554391,180,top
R21,39.19,-14.519391,0,top
R22,42.215,-14.519391,180,top
R23,68.335,-24.55,90,top
R24,13.89,-13.4825,180,top
R25,16.19,-16.319391,180,top
R26,16.29,-9.419391,180,top
R27,18.85,-39.56,90,top
R28,16.55,-40.335,180,top
R29,13.811875,-23.4725,180,top
R30,16.1125,-26.35,180,top
R31,16.2125,-19.45,180,top
R32,13.885,-33.46,180,top
R33,16.235,-36.3175,180,top
R34,16.335,-29.4175,180,top
R35,34.585,-28.85,180,top
R36,34.5125,-18.95,180,top
R37,34.49,-8.961821,180,top
R38,68.1,-4.8,90,top
R39,13.21,-6.455,180,top
R40,88.875,-12.625,90,top
R41,90.405,-12.625,-90,top
R42,10.16,-4.705,0,top
R43,10.16,-3.095,0,top
R44,10.16,-1.495,0,top
U1,81.435,-19.975,90,top
U2,73.16,-35.725,180,top
U3,57.6634,-18.13,180,top
U4,71.2975,-24.325,180,top
U5,41.39,-11.019391,180,top
U6,41.365,-21.054391,180,top
U7,41.36,-30.975,180,top
U10,89.325,-9.485,180,top
X1,79.985,-30.4,0,top
